origin,destiny,count
G1,G1,37
G1,G2,6
G1,G3,1
G1,G4,1
G1,G5,2
G1,G6,2
G1,G7,2
G1,G9,1
G1,G10,6
G2,G2,20
G2,G3,3
G2,G4,4
G2,G5,3
G2,G6,2
G2,G7,1
G2,G10,3
G3,G3,37
G3,G4,4
G3,G5,7
G3,G6,2
G3,G7,3
G3,G8,2
G3,G10,4
G4,G4,38
G4,G5,7
G4,G6,1
G4,G7,4
G4,G8,1
G4,G9,1
G4,G11,1
G5,G5,19
G5,G6,1
G5,G7,3
G5,G8,2
G5,G9,1
G5,G10,5
G6,G6,24
G6,G8,1
G6,G10,2
G7,G7,19
G7,G8,1
G7,G9,1
G7,G10,1
G8,G8,5
G8,G9,1
G8,G10,1
G9,G9,15
G9,G10,2
G10,G10,18
G11,G11,2
